,Approximation,Model,Dataset,Accuracy,Time,Features
845,Exhaustive,keras,poker,99.98260927,125025.1352,10
221,Exhaustive,keras,power,99.99999454,118210.1272,4
689,Exhaustive,keras,rentals,99.98340873,101483.332,8
725,Exhaustive,keras,cancer,99.92659686,91484.35898,9
869,Exhaustive,keras,possumchest,99.95566313,90904.31955,10
881,Exhaustive,keras,spending,99.95566313,90904.31955,10
317,Exhaustive,keras,uber,99.99881313,85663.22128,5
773,Exhaustive,keras,energy,99.8893456,71006.70045,9
761,Exhaustive,keras,employee,99.8893456,71006.70045,9
617,Exhaustive,keras,crab,99.9217702,60399.25401,8
665,Exhaustive,keras,energy_heat,99.69915198,38510.56429,8
701,Exhaustive,keras,wage,99.97631159,37328.95497,8
473,Exhaustive,keras,france,99.97368419,36743.9217,7
713,Exhaustive,keras,airline-costs,-42340.05798,34177.18396,9
785,Exhaustive,keras,friedman,99.99069981,32239.36624,9
797,Exhaustive,keras,glass,99.07069981,32239.36624,9
353,Exhaustive,keras,powerlifting,99.91180532,27130.9015,6
677,Exhaustive,keras,prostate,95.46614774,25987.59749,8
461,Exhaustive,keras,diamond,99.9990796,25130.38173,7
593,Exhaustive,keras,cms,99.89842488,23480.86135,8
485,Exhaustive,keras,germany,99.98389426,23378.68982,7
605,Exhaustive,keras,concrete,99.89842488,23121.8107,8
629,Exhaustive,keras,cust,99.95935146,22349.11304,8
641,Exhaustive,keras,diabetes,99.88434768,21692.54237,8
653,Exhaustive,keras,energy_cool,99.63248529,19165.9227,8
377,Exhaustive,keras,walmart,99.93361608,16204.1419,6
425,Exhaustive,keras,autompg,99.48194121,12744.99108,7
449,Exhaustive,keras,computer,99.29481939,11330.45416,7
341,Exhaustive,keras,kiva,99.95777286,8714.400119,6
545,Exhaustive,keras,slump-flow,98.51604861,7011.284552,7
569,Exhaustive,keras,wholesale,98.5960733,6760.462098,7
497,Exhaustive,keras,raotbl6,99.93664036,6013.96256,7
413,Exhaustive,keras,auto-mpg,99.48194121,5517.625793,7
521,Exhaustive,keras,realestate,99.98033136,5349.12061,7
329,Exhaustive,keras,insurance,99.98672087,4904.397873,6
533,Exhaustive,keras,slump,99.68278456,3888.740474,7
509,Exhaustive,keras,raotbl7,99.4660166,3819.654227,7
557,Exhaustive,keras,slump-mpa,99.96671753,3546.115546,7
401,Exhaustive,keras,admission,93.37315159,3090.873772,7
437,Exhaustive,keras,chanceadmit,98.28567042,2362.737417,7
5,Exhaustive,keras,3droad,99.99995769,1686.938297,3
365,Exhaustive,keras,seeds,99.2047185,1666.83837,6
389,Exhaustive,keras,yatch,98.58984277,1475.987253,6
257,Exhaustive,keras,airfoil,99.98052092,1047.121028,5
269,Exhaustive,keras,airfoil-self-noise,99.98052092,999.896301,5
305,Exhaustive,keras,sacramento,99.8687604,478.0284107,5
293,Exhaustive,keras,linnerud,98.16149215,351.5370166,5
173,Exhaustive,keras,diamonds_select,99.10554289,339.0641546,4
281,Exhaustive,keras,japanemg,89.83191851,325.4002643,5
197,Exhaustive,keras,iris,99.99244966,277.7986517,4
245,Exhaustive,keras,unemploy,98.12339566,271.8706465,4
233,Exhaustive,keras,startups,93.70038094,231.0035009,4
209,Exhaustive,keras,petrol,65.81668566,178.2336588,4
113,Exhaustive,keras,advertising,97.9738208,167.609395,4
101,Exhaustive,keras,advertisements,97.9738208,132.7577143,4
149,Exhaustive,keras,const-maint,99.21898758,117.5059986,4
185,Exhaustive,keras,economics,98.12339566,114.6577244,4
137,Exhaustive,keras,challenger,-151.8824985,83.215765,4
161,Exhaustive,keras,diamonds_filter,99.99574125,83.03298855,4
41,Exhaustive,keras,chickweight,99.48640004,56.40137815,3
89,Exhaustive,keras,spx,99.9828349,51.51853395,3
29,Exhaustive,keras,brainweight,98.20649075,30.06845784,3
53,Exhaustive,keras,htwtindex,99.7725822,29.31373858,3
125,Exhaustive,keras,blood,99.93100577,28.20331383,4
77,Exhaustive,keras,questions,99.68780406,25.96812987,3
65,Exhaustive,keras,jewellery,99.98911321,25.04517031,3
17,Exhaustive,keras,apartments,98.03603393,18.67677855,3
997,Cohort,keras,adult,98.24494103,12.53753119,12
996,CES,keras,adult,98.24494103,12.53753119,12
1092,CES,keras,seoulbike,98.98220939,12.53482334,12
1093,Cohort,keras,seoulbike,98.98220939,12.53482334,12
1080,CES,keras,pumpkinseed,99.99775298,12.52899257,12
1081,Cohort,keras,pumpkinseed,99.99775298,12.52899257,12
1141,Cohort,keras,wine,99.7878929,12.52200473,12
1140,CES,keras,wine,99.7878929,12.52200473,12
1021,Cohort,keras,bikehourly,99.74581418,12.50908846,12
1020,CES,keras,bikehourly,99.74581418,12.50908846,12
1009,Cohort,keras,airquality,82.30445873,12.46760268,12
1008,CES,keras,airquality,82.30445873,12.46760268,12
1189,Cohort,keras,income,90.46679444,10.10828786,13
1188,CES,keras,income,90.46679444,10.10828786,13
948,CES,keras,telecom,99.95127533,8.823627644,11
949,Cohort,keras,telecom,99.95127533,8.823627644,11
973,Cohort,keras,winequality-red,99.97956438,8.82348412,11
972,CES,keras,winequality-red,99.97956438,8.82348412,11
696,CES,keras,wage,99.98141104,8.543504786,8
697,Cohort,keras,wage,99.98141104,8.543504786,8
613,Cohort,keras,crab,98.5344357,8.543349426,8
612,CES,keras,crab,98.5344357,8.543349426,8
840,CES,keras,poker,97.79336386,8.447709639,10
841,Cohort,keras,poker,97.79336386,8.447709639,10
816,CES,keras,abalone,1.769338145,8.447684174,10
817,Cohort,keras,abalone,1.769338145,8.447684174,10
889,Cohort,keras,telescope,99.30484628,8.447642956,10
888,CES,keras,telescope,99.30484628,8.447642956,10
1044,CES,keras,forestfire,97.78023028,8.398755636,12
1045,Cohort,keras,forestfire,97.78023028,8.398755636,12
768,CES,keras,energy,99.73651506,8.334869409,9
769,Cohort,keras,energy,99.73651506,8.334869409,9
625,Cohort,keras,cust,99.99713277,8.208586109,8
624,CES,keras,cust,99.99713277,8.208586109,8
649,Cohort,keras,energy_cool,95.08973209,7.96691278,8
648,CES,keras,energy_cool,95.08973209,7.96691278,8
660,CES,keras,energy_heat,96.07946415,7.959060576,8
661,Cohort,keras,energy_heat,96.07946415,7.959060576,8
721,Cohort,keras,cancer,99.91992919,7.952756112,9
720,CES,keras,cancer,99.91992919,7.952756112,9
684,CES,keras,rentals,99.92967357,7.832008369,8
685,Cohort,keras,rentals,99.92967357,7.832008369,8
588,CES,keras,cms,98.91497793,7.831970069,8
589,Cohort,keras,cms,98.91497793,7.831970069,8
601,Cohort,keras,concrete,98.91352343,7.829243779,8
600,CES,keras,concrete,98.91352343,7.829243779,8
577,Cohort,keras,californiahousing,99.93123354,7.795960629,8
576,CES,keras,californiahousing,99.93123354,7.795960629,8
1153,Cohort,keras,boston,99.58863552,7.219912834,13
1152,CES,keras,boston,99.58863552,7.219912834,13
1176,CES,keras,housing,99.87643924,7.216534429,13
1177,Cohort,keras,housing,99.87643924,7.216534429,13
781,Cohort,keras,friedman,99.13591511,7.116019318,9
780,CES,keras,friedman,99.13591511,7.116019318,9
756,CES,keras,employee,90.59246124,7.11578186,9
757,Cohort,keras,employee,90.59246124,7.11578186,9
804,CES,keras,precip,99.97016884,7.103553572,9
805,Cohort,keras,precip,99.97016884,7.103553572,9
732,CES,keras,casp,98.77731321,7.082113709,9
733,Cohort,keras,casp,98.77731321,7.082113709,9
1200,CES,keras,mba,98.49523575,6.945257792,13
1201,Cohort,keras,mba,98.49523575,6.945257792,13
637,Cohort,keras,diabetes,99.9815945,6.465423894,8
636,CES,keras,diabetes,99.9815945,6.465423894,8
1116,CES,keras,stockreturn,99.4973641,5.617660275,12
1117,Cohort,keras,stockreturn,99.4973641,5.617660275,12
1164,CES,keras,heart_disease,99.97812794,4.692787046,13
1165,Cohort,keras,heart_disease,99.97812794,4.692787046,13
1057,Cohort,keras,heartfailure,96.23918214,4.58967493,12
1056,CES,keras,heartfailure,96.23918214,4.58967493,12
325,Cohort,keras,insurance,98.50883412,4.541410942,6
324,CES,keras,insurance,98.50883412,4.541410942,6
372,CES,keras,walmart,99.69902892,4.540806637,6
373,Cohort,keras,walmart,99.69902892,4.540806637,6
348,CES,keras,powerlifting,99.21158357,4.540187168,6
349,Cohort,keras,powerlifting,99.21158357,4.540187168,6
985,Cohort,keras,winequality-white,99.51665562,4.435467439,11
984,CES,keras,winequality-white,99.51665562,4.435467439,11
960,CES,keras,winequality,94.49615781,4.435457196,11
961,Cohort,keras,winequality,94.49615781,4.435457196,11
313,Cohort,keras,uber,37.71306991,4.128040879,5
312,CES,keras,uber,37.71306991,4.128040879,5
253,Cohort,keras,airfoil,99.58472856,4.127985415,5
252,CES,keras,airfoil,99.58472856,4.127985415,5
300,CES,keras,sacramento,99.9175784,4.01078572,5
301,Cohort,keras,sacramento,99.9175784,4.01078572,5
337,Cohort,keras,kiva,99.55333494,3.854198229,6
336,CES,keras,kiva,99.55333494,3.854198229,6
1069,Cohort,keras,ozone,99.9908495,3.664457552,12
1068,CES,keras,ozone,99.9908495,3.664457552,12
517,Cohort,keras,realestate,99.76444719,3.214750845,7
516,CES,keras,realestate,99.76444719,3.214750845,7
1033,Cohort,keras,forest,91.35691046,2.93713171,12
1032,CES,keras,forest,91.35691046,2.93713171,12
925,Cohort,keras,migration,99.07066651,2.861845586,11
924,CES,keras,migration,99.07066651,2.861845586,11
469,Cohort,keras,france,99.89718829,2.832878482,7
468,CES,keras,france,99.89718829,2.832878482,7
457,Cohort,keras,diamond,99.1454102,2.832183318,7
456,CES,keras,diamond,99.1454102,2.832183318,7
481,Cohort,keras,germany,97.88832002,2.831861691,7
480,CES,keras,germany,97.88832002,2.831861691,7
1105,Cohort,keras,servo,88.49406681,2.823641864,12
1104,CES,keras,servo,88.49406681,2.823641864,12
397,Cohort,keras,admission,92.24197941,2.823523893,7
396,CES,keras,admission,92.24197941,2.823523893,7
792,CES,keras,glass,99.09672705,2.790579245,9
793,Cohort,keras,glass,99.09672705,2.790579245,9
432,CES,keras,chanceadmit,97.07584139,2.568515816,7
433,Cohort,keras,chanceadmit,97.07584139,2.568515816,7
408,CES,keras,auto-mpg,98.86673299,2.538046885,7
409,Cohort,keras,auto-mpg,98.86673299,2.538046885,7
168,CES,keras,diamonds_select,98.50376463,2.508661525,4
169,Cohort,keras,diamonds_select,98.50376463,2.508661525,4
265,Cohort,keras,airfoil-self-noise,99.58670726,2.470938148,5
264,CES,keras,airfoil-self-noise,99.58670726,2.470938148,5
1,Cohort,keras,3droad,99.40758544,2.307918832,3
0,CES,keras,3droad,99.40758544,2.307918832,3
216,CES,keras,power,94.76479089,2.185800087,4
217,Cohort,keras,power,94.76479089,2.185800087,4
901,Cohort,keras,bikedaily,99.46928727,2.086309445,11
900,CES,keras,bikedaily,99.46928727,2.086309445,11
156,CES,keras,diamonds_filter,96.96068764,2.061358078,4
157,Cohort,keras,diamonds_filter,96.96068764,2.061358078,4
180,CES,keras,economics,99.77854496,2.035833879,4
181,Cohort,keras,economics,99.77854496,2.035833879,4
241,Cohort,keras,unemploy,99.7799626,2.035688252,4
240,CES,keras,unemploy,99.7799626,2.035688252,4
385,Cohort,keras,yatch,98.27969625,1.815959568,6
384,CES,keras,yatch,98.27969625,1.815959568,6
1129,Cohort,keras,stockrisk,97.64260553,1.763479209,12
1128,CES,keras,stockrisk,97.64260553,1.763479209,12
120,CES,keras,blood,80.83211544,1.720983183,4
121,Cohort,keras,blood,80.83211544,1.720983183,4
360,CES,keras,seeds,97.76716705,1.51587848,6
361,Cohort,keras,seeds,97.76716705,1.51587848,6
745,Cohort,keras,country-data,99.66807484,1.481678784,9
744,CES,keras,country-data,99.66807484,1.481678784,9
564,CES,keras,wholesale,99.1362102,1.454007845,7
565,Cohort,keras,wholesale,99.1362102,1.454007845,7
877,Cohort,keras,spending,99.30793819,1.167502533,10
876,CES,keras,spending,99.30793819,1.167502533,10
865,Cohort,keras,possumchest,99.31725741,1.148128326,10
864,CES,keras,possumchest,99.31725741,1.148128326,10
853,Cohort,keras,possumbelly,97.27254462,1.146133259,10
852,CES,keras,possumbelly,97.27254462,1.146133259,10
504,CES,keras,raotbl7,99.58259282,1.121998112,7
505,Cohort,keras,raotbl7,99.58259282,1.121998112,7
493,Cohort,keras,raotbl6,46.5013033,1.11873404,7
492,CES,keras,raotbl6,46.5013033,1.11873404,7
84,CES,keras,spx,99.96590264,1.083558607,3
85,Cohort,keras,spx,99.96590264,1.083558607,3
672,CES,keras,prostate,93.2675763,0.9399878617,8
673,Cohort,keras,prostate,93.2675763,0.9399878617,8
553,Cohort,keras,slump-mpa,97.91919409,0.9086734898,7
552,CES,keras,slump-mpa,97.91919409,0.9086734898,7
37,Cohort,keras,chickweight,99.79685467,0.8920817614,3
36,CES,keras,chickweight,99.79685467,0.8920817614,3
108,CES,keras,advertising,94.94998188,0.8587512175,4
109,Cohort,keras,advertising,94.94998188,0.8587512175,4
48,CES,keras,htwtindex,97.47840065,0.8540279627,3
49,Cohort,keras,htwtindex,97.47840065,0.8540279627,3
61,Cohort,keras,jewellery,99.78485495,0.8537140131,3
60,CES,keras,jewellery,99.78485495,0.8537140131,3
72,CES,keras,questions,99.76619436,0.8528288078,3
73,Cohort,keras,questions,99.76619436,0.8528288078,3
444,CES,keras,computer,97.26954623,0.8304980389,7
445,Cohort,keras,computer,97.26954623,0.8304980389,7
420,CES,keras,autompg,98.87272676,0.6967891622,7
421,Cohort,keras,autompg,98.87272676,0.6967891622,7
97,Cohort,keras,advertisements,94.99506059,0.6559333223,4
96,CES,keras,advertisements,94.99506059,0.6559333223,4
912,CES,keras,hybrid,97.24601207,0.5447605077,11
913,Cohort,keras,hybrid,97.24601207,0.5447605077,11
192,CES,keras,iris,69.98996838,0.5218571186,4
193,Cohort,keras,iris,69.98996838,0.5218571186,4
24,CES,keras,brainweight,98.30784415,0.4523345398,3
25,Cohort,keras,brainweight,98.30784415,0.4523345398,3
1206,IME,keras,mba,99.83672129,0.4342041517,13
1110,IME,keras,servo,98.62609707,0.4304260081,12
1134,IME,keras,stockrisk,97.57473228,0.4281408535,12
1182,IME,keras,housing,97.55000096,0.4277319223,13
1050,IME,keras,forestfire,99.60068156,0.4258678294,12
1122,IME,keras,stockreturn,99.87446452,0.4252807544,12
942,IME,keras,mtcars,78.43255103,0.4203729196,11
918,IME,keras,hybrid,99.67549108,0.4200446045,11
1098,IME,keras,seoulbike,99.46076808,0.4196371729,12
1074,IME,keras,ozone,99.72463008,0.4186502108,12
870,IME,keras,possumchest,99.87085972,0.4164443493,10
1086,IME,keras,pumpkinseed,99.88241967,0.4163689938,12
1002,IME,keras,adult,99.79665172,0.4152148095,12
714,IME,keras,airline-costs,-45754.28401,0.4138595104,9
1062,IME,keras,heartfailure,98.8051845,0.4108234487,12
798,IME,keras,glass,99.02561229,0.4097004676,9
1038,IME,keras,forest,99.80814205,0.4078586032,12
750,IME,keras,country-data,99.24789129,0.4044038483,9
822,IME,keras,abalone,99.23240386,0.4035047928,10
906,IME,keras,bikedaily,99.85060876,0.402834511,11
858,IME,keras,possumbelly,99.58141642,0.400136682,10
678,IME,keras,prostate,95.38387508,0.3991318544,8
774,IME,keras,energy,99.77950394,0.3979317307,9
529,Cohort,keras,slump,90.07980325,0.3962325068,7
528,CES,keras,slump,90.07980325,0.3962325068,7
534,IME,keras,slump,99.58213887,0.3956902728,7
828,CES,keras,asia_gdp,97.0583143,0.3936020647,10
829,Cohort,keras,asia_gdp,97.0583143,0.3936020647,10
546,IME,keras,slump-flow,98.45149249,0.3917406938,7
1158,IME,keras,boston,98.25731151,0.3916742616,13
1146,IME,keras,wine,99.67882918,0.3904257738,12
402,IME,keras,admission,93.10619423,0.3897617383,7
498,IME,keras,raotbl6,99.77468281,0.3887807916,7
966,IME,keras,winequality,99.7218263,0.3862715042,11
594,IME,keras,cms,99.50436436,0.3856557254,8
1014,IME,keras,airquality,99.72387974,0.3853593624,12
426,IME,keras,autompg,99.39776436,0.3853248578,7
438,IME,keras,chanceadmit,98.08057175,0.3826639544,7
894,IME,keras,telescope,98.64601145,0.382057398,10
414,IME,keras,auto-mpg,99.34727679,0.3819933249,7
1170,IME,keras,heart_disease,99.82637737,0.3819471651,13
954,IME,keras,telecom,99.83545964,0.3814235044,11
1026,IME,keras,bikehourly,99.81960855,0.3812650984,12
282,IME,keras,japanemg,89.36549377,0.3792177359,5
366,IME,keras,seeds,99.07757175,0.3789771363,6
1194,IME,keras,income,99.86881829,0.3764359763,13
978,IME,keras,winequality-red,99.58539374,0.3763785102,11
810,IME,keras,precip,99.3690951,0.3745973139,9
738,IME,keras,casp,99.90548224,0.3741378228,9
294,IME,keras,linnerud,97.67560744,0.3731919016,5
210,IME,keras,petrol,66.73167513,0.3703537285,4
390,IME,keras,yatch,98.50684879,0.3685490033,6
150,IME,keras,const-maint,99.11487898,0.3674921989,4
318,IME,keras,uber,93.96540597,0.3669583588,5
306,IME,keras,sacramento,99.7658047,0.3650180094,5
990,IME,keras,winequality-white,99.8568201,0.3646770904,11
198,IME,keras,iris,99.81007846,0.3642034721,4
114,IME,keras,advertising,97.88361104,0.3639111844,4
702,IME,keras,wage,99.50175906,0.3632359425,8
642,IME,keras,diabetes,99.7384553,0.3615694497,8
486,IME,keras,germany,99.58854248,0.3601617307,7
186,IME,keras,economics,97.89967084,0.359784568,4
234,IME,keras,startups,93.03528265,0.3587730352,4
162,IME,keras,diamonds_filter,99.9182048,0.3580719774,4
690,IME,keras,rentals,99.85079521,0.3570881815,8
582,IME,keras,californiahousing,99.81001949,0.3570714423,8
762,IME,keras,employee,96.419748,0.3566279736,9
18,IME,keras,apartments,97.70563129,0.3563016195,3
834,IME,keras,asia_gdp,96.78233769,0.3561641148,10
522,IME,keras,realestate,99.84868556,0.3548415664,7
606,IME,keras,concrete,99.48196038,0.353766635,8
786,IME,keras,friedman,99.22149831,0.3537201961,9
354,IME,keras,powerlifting,98.96189786,0.3534814336,6
258,IME,keras,airfoil,99.82177079,0.3501641866,5
6,IME,keras,3droad,99.9000125,0.349272168,3
666,IME,keras,energy_heat,99.59848331,0.3491136643,8
630,IME,keras,cust,99.87069294,0.3488645325,8
246,IME,keras,unemploy,98.05874812,0.348681426,4
330,IME,keras,insurance,99.54761788,0.3479503762,6
378,IME,keras,walmart,99.41858275,0.3475302768,6
618,IME,keras,crab,98.47605189,0.3469872879,8
882,IME,keras,spending,99.85176465,0.3469200952,10
78,IME,keras,questions,99.59311437,0.3451643192,3
66,IME,keras,jewellery,99.8969214,0.3448913611,3
474,IME,keras,france,99.8633703,0.3403160514,7
270,IME,keras,airfoil-self-noise,99.80005089,0.3391988147,5
846,IME,keras,poker,99.74218043,0.3334103281,10
558,IME,keras,slump-mpa,99.86517764,0.331003133,7
174,IME,keras,diamonds_select,98.97895779,0.3306572668,4
462,IME,keras,diamond,99.79689726,0.3270078674,7
654,IME,keras,energy_cool,99.52881798,0.326338906,8
450,IME,keras,computer,99.25564183,0.3257264573,7
726,IME,keras,cancer,99.69570701,0.3250644154,9
510,IME,keras,raotbl7,99.19583821,0.3240803974,7
570,IME,keras,wholesale,97.97156769,0.3182973339,7
930,IME,keras,migration,94.14069498,0.3177313805,11
222,IME,keras,power,99.14663258,0.3092723687,4
102,IME,keras,advertisements,97.8603156,0.3089433511,4
138,IME,keras,challenger,-144.4338511,0.3056128025,4
229,Cohort,keras,startups,86.56298548,0.3024536862,4
228,CES,keras,startups,86.56298548,0.3024536862,4
54,IME,keras,htwtindex,99.6436031,0.3008596912,3
90,IME,keras,spx,99.8831964,0.2984890682,3
42,IME,keras,chickweight,99.39075693,0.2930076222,3
30,IME,keras,brainweight,98.11864637,0.2913442141,3
342,IME,keras,kiva,99.17923445,0.2747228897,6
1058,DASP,keras,heartfailure,92.00652359,0.2658700245,12
1166,DASP,keras,heart_disease,89.2711204,0.2626304176,13
626,DASP,keras,cust,99.78925623,0.2612310644,8
1202,DASP,keras,mba,99.28322706,0.2605144765,13
566,DASP,keras,wholesale,99.9999696,0.2602480323,7
1178,DASP,keras,housing,95.71863681,0.2602035443,13
722,DASP,keras,cancer,99.41113843,0.2601720242,9
1118,DASP,keras,stockreturn,99.45106732,0.2599030962,12
410,DASP,keras,auto-mpg,99.88920597,0.259894261,7
1154,DASP,keras,boston,96.47684575,0.2592198592,13
662,DASP,keras,energy_heat,99.88509968,0.2591343902,8
434,DASP,keras,chanceadmit,99.85273718,0.2591337814,7
230,DASP,keras,startups,64.88258652,0.259118543,4
126,IME,keras,blood,99.8609737,0.2589398579,4
1046,DASP,keras,forestfire,99.82223348,0.2587670429,12
734,DASP,keras,casp,98.80376974,0.2586961082,9
158,DASP,keras,diamonds_filter,99.65426542,0.2586685299,4
398,DASP,keras,admission,97.27595964,0.2586626732,7
650,DASP,keras,energy_cool,99.75818848,0.2583612532,8
758,DASP,keras,employee,99.62821913,0.2583469131,9
326,DASP,keras,insurance,99.83442675,0.2580974629,6
386,DASP,keras,yatch,99.80754914,0.2579355287,6
422,DASP,keras,autompg,99.91479954,0.2577390451,7
770,DASP,keras,energy,99.70403017,0.2576497061,9
350,DASP,keras,powerlifting,98.59828865,0.2574906031,6
1142,DASP,keras,wine,99.99986403,0.257378709,12
122,DASP,keras,blood,98.96560371,0.2573415442,4
302,DASP,keras,sacramento,98.66658824,0.2571922781,5
314,DASP,keras,uber,99.56111456,0.2569865191,5
842,DASP,keras,poker,99.97453865,0.2569611138,10
62,DASP,keras,jewellery,99.94670706,0.256947623,3
38,DASP,keras,chickweight,99.62410123,0.2565414843,3
1010,DASP,keras,airquality,99.9339799,0.2564366911,12
638,DASP,keras,diabetes,99.98796174,0.2560978799,8
998,DASP,keras,adult,99.88324118,0.2560527657,12
218,DASP,keras,power,99.19723348,0.2559704773,4
50,DASP,keras,htwtindex,95.96080611,0.2559449066,3
686,DASP,keras,rentals,99.88248766,0.2558592775,8
590,DASP,keras,cms,99.95867657,0.2556348801,8
1094,DASP,keras,seoulbike,99.92491687,0.2556111422,12
602,DASP,keras,concrete,99.92468582,0.2555681062,8
1022,DASP,keras,bikehourly,99.67934619,0.2555679473,12
818,DASP,keras,abalone,99.99689259,0.25542807,10
698,DASP,keras,wage,99.99996729,0.2553744287,8
890,DASP,keras,telescope,99.06569403,0.2553418268,10
1082,DASP,keras,pumpkinseed,99.982842,0.2553073529,12
254,DASP,keras,airfoil,99.72458055,0.2552449674,5
374,DASP,keras,walmart,99.99227063,0.255189244,6
482,DASP,keras,germany,98.53615131,0.254982996,7
614,DASP,keras,crab,99.10943246,0.2549159072,8
806,DASP,keras,precip,99.81722018,0.2549082084,9
974,DASP,keras,winequality-red,99.54158996,0.2547157938,11
950,DASP,keras,telecom,99.95456197,0.2546568329,11
1130,DASP,keras,stockrisk,98.23235982,0.2546167878,12
74,DASP,keras,questions,99.82034816,0.2545825814,3
182,DASP,keras,economics,99.98055708,0.2544705265,4
1034,DASP,keras,forest,99.58081531,0.2542076167,12
458,DASP,keras,diamond,99.69549611,0.2542014808,7
470,DASP,keras,france,99.77198313,0.2542007836,7
782,DASP,keras,friedman,99.5357579,0.2541516434,9
1190,DASP,keras,income,99.93817394,0.2540172548,13
266,DASP,keras,airfoil-self-noise,99.88464291,0.2539478851,5
242,DASP,keras,unemploy,99.8844247,0.2537122839,4
170,DASP,keras,diamonds_select,99.60156459,0.2528410673,4
86,DASP,keras,spx,99.99662753,0.2523263722,3
578,DASP,keras,californiahousing,99.8309847,0.2518545302,8
986,DASP,keras,winequality-white,99.99864892,0.2516725251,11
338,DASP,keras,kiva,99.6406041,0.2516174743,6
962,DASP,keras,winequality,99.98565099,0.2515797969,11
518,DASP,keras,realestate,99.99959786,0.2509683988,7
542,DASP,keras,slump-flow,99.42191333,0.2508004273,7
13,Cohort,keras,apartments,97.90970785,0.2506655271,3
12,CES,keras,apartments,97.90970785,0.2506655271,3
290,DASP,keras,linnerud,98.1814073,0.2505586829,5
146,DASP,keras,const-maint,99.74863776,0.2503662326,4
2,DASP,keras,3droad,99.99846071,0.2503508416,3
134,DASP,keras,challenger,93.46993348,0.2503295839,4
98,DASP,keras,advertisements,97.20712797,0.2498883876,4
902,DASP,keras,bikedaily,99.96056414,0.2492786173,11
1070,DASP,keras,ozone,99.14634422,0.2489134127,12
926,DASP,keras,migration,96.09112614,0.2471018705,11
194,DASP,keras,iris,98.7919578,0.2466725969,4
278,DASP,keras,japanemg,83.1244041,0.2465467135,5
794,DASP,keras,glass,95.97886807,0.246497396,9
494,DASP,keras,raotbl6,99.60518269,0.246195892,7
110,DASP,keras,advertising,98.91707166,0.2460993564,4
746,DASP,keras,country-data,98.86287468,0.2458099255,9
554,DASP,keras,slump-mpa,99.5730839,0.245772516,7
1198,Parametric KernelSHAP,keras,income,99.89054951,0.245574,13
1197,Non-parametric KernelSHAP,keras,income,99.89054951,0.245574,13
1106,DASP,keras,servo,99.19018948,0.2451740265,12
530,DASP,keras,slump,98.44396017,0.2448296056,7
14,DASP,keras,apartments,99.06918953,0.2448277107,3
854,DASP,keras,possumbelly,95.95152883,0.2442120075,10
446,DASP,keras,computer,98.46718848,0.2436406301,7
866,DASP,keras,possumchest,98.78232632,0.2434843268,10
26,DASP,keras,brainweight,99.89694925,0.2433070442,3
710,DASP,keras,airline-costs,69.82669497,0.2429929018,9
878,DASP,keras,spending,99.28706925,0.2426752159,10
362,DASP,keras,seeds,95.63818421,0.2407589062,6
206,DASP,keras,petrol,71.3586377,0.2406704724,4
830,DASP,keras,asia_gdp,66.0831582,0.2406088284,10
938,DASP,keras,mtcars,83.97068554,0.2390745987,11
914,DASP,keras,hybrid,98.79292878,0.2357550556,11
